project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
Support to UNRWA Operations in Syria,SUPPORT TO UNRWA OPERATIONS IN SYRIA,Support to UNRWA Operations in Syria,Yes,0.93696665763855
Intervention d'urgence - Aide alimentaire d'urgence,INTERVENTION D'URGENCE - AIDE ALIMENTAIRE D'URGENCE,Intervention d'urgence - Aide alimentaire d'urgence - Actions de coopÃ©ration internationale des collectivitÃ©s territoriales pour le dÃ©veloppement - Conseil rÃ©gional - Conseil rÃ©gional d'Ile-de-France,Yes,0.9368816614151
Supporting integration and perspectives of Syrian and Iraqi refugees in Lebanon through education and psychosocial support,SUPPORTING INTEGRATION AND PERSPECTIVES OF SYRIAN AND IRAQI REFUGEES IN LEBANON THROUGH EDUCATION AND PSYCHOSOCIAL SUPPORT,Supporting integration and perspectives of Syrian and Iraqi refugees in Lebanon through education and psychosocial support,Yes,0.936830103397369
Securing Refugee-Host relation in Uganda,SECURING REFUGEE-HOST RELATION IN UGANDA,"The project aims to enhance the protection, well-being and dignity of South Sudanese refugees and their hosts in Adjumani, Kiryandongo and Lamwo districts.",Yes,0.93675297498703
IDP Living Standards and Livelihoods Project,IDP LIVING STANDARDS AND LIVELIHOODS PROJECT,"",Yes,0.936749517917633
IDP Living Standards and Livelihoods Project,IDP LIVING STANDARDS AND LIVELIHOODS PROJECT,"",Yes,0.936749517917633
"Emergency Grant Aid for people affected by the military engagement in Tigray region, Ethiopia","EMERGENCY GRANT AID FOR PEOPLE AFFECTED BY THE MILITARY ENGAGEMENT IN TIGRAY REGION, ETHIOPIA","Providing life-saving assistance in health, WASH, shelter and CRI sectors for refugees and hosting communities in Mai-Aini and Adi-Harush Camps",Yes,0.93672651052475
"Emergency Grant Aid for people affected by the military engagement in Tigray region, Ethiopia","EMERGENCY GRANT AID FOR PEOPLE AFFECTED BY THE MILITARY ENGAGEMENT IN TIGRAY REGION, ETHIOPIA","Providing life-saving assistance in health, WASH, shelter and CRI sectors for refugees and hosting communities in Mai-Aini and Adi-Harush Camps",Yes,0.93672651052475
Flood Emergency Reconstruction and Resilience Project,FLOOD EMERGENCY RECONSTRUCTION AND RESILIENCE PROJECT,"The project will contribute to the economic and social recovery of flood-affected areas in Punjab Province and the northern districts of Haveli, Kotli and Poonch (also known as northern districts ) through the rehabilitation and reconstruction of high-priority infrastructure damaged and weakened during the floods in September 2014. The project focuses on the transitional phase of the emergency response for the rehabilitation and reconstruction of priority roads, bridges, irrigation and flood protection infrastructure damaged by the floods. Providing financing for the most urgently needed works, the loan and grant will enable the Government to redirect its own financing to housing and livelihood cash grants for the most vulnerable groups, thus restoring the economic activity essential to their survival. The project will also support ex ante disaster risk management (DRM) capacity building to mainstream resilience in development planning. Reconstruction of damaged and at-risk infrastructure in the flood-affected areas will use appropriate and cost-effective multi-hazard resistant design and construction standards to mitigate the potential impact of future disasters. The Project s design is based on the findings of the damage assessment reports prepared by the respective Punjab Planning and Development Departments (P&D) in January 2015 and facilitated by the Asian Development Bank (ADB) and World Bank, in close coordination with the federal government and other donors.",Yes,0.936712741851807
Flood Emergency Reconstruction and Resilience Project,FLOOD EMERGENCY RECONSTRUCTION AND RESILIENCE PROJECT,"The project will contribute to the economic and social recovery of flood-affected areas in Punjab Province and the northern districts of Haveli, Kotli and Poonch (also known as northern districts ) through the rehabilitation and reconstruction of high-priority infrastructure damaged and weakened during the floods in September 2014. The project focuses on the transitional phase of the emergency response for the rehabilitation and reconstruction of priority roads, bridges, irrigation and flood protection infrastructure damaged by the floods. Providing financing for the most urgently needed works, the loan and grant will enable the Government to redirect its own financing to housing and livelihood cash grants for the most vulnerable groups, thus restoring the economic activity essential to their survival. The project will also support ex ante disaster risk management (DRM) capacity building to mainstream resilience in development planning. Reconstruction of damaged and at-risk infrastructure in the flood-affected areas will use appropriate and cost-effective multi-hazard resistant design and construction standards to mitigate the potential impact of future disasters. The Project s design is based on the findings of the damage assessment reports prepared by the respective Punjab Planning and Development Departments (P&D) in January 2015 and facilitated by the Asian Development Bank (ADB) and World Bank, in close coordination with the federal government and other donors.",Yes,0.936712741851807
Community Based Approach to the Enhancement of Security and Capacity Development under COVID-19,COMMUNITY BASED APPROACH TO THE ENHANCEMENT OF SECURITY AND CAPACITY DEVELOPMENT UNDER COVID-19,Community Based Approach to the Enhancement of Security and Capacity Development under COVID-19,Yes,0.936676740646362
Emergency Grant Aid in response to the earthquake in Haiti,EMERGENCY GRANT AID IN RESPONSE TO THE EARTHQUAKE IN HAITI,Emergency shelter and non-food item (NFI) response to August 2021 earthquake affected areas in Haiti,Yes,0.936483919620514
Promotion de l'offre de prÃªts garantis contre les catastrophes naturelle,PROMOTION DE L'OFFRE DE PRÃTS GARANTIS CONTRE LES CATASTROPHES NATURELLE,"Promotion de l'offre de prÃªts garantis contre les catastrophes naturelles par la BOAD en Afrique de l'Ouest, Phase II",Yes,0.936354517936707
Promotion de l'offre de prÃªts garantis contre les catastrophes naturelle,PROMOTION DE L'OFFRE DE PRÃTS GARANTIS CONTRE LES CATASTROPHES NATURELLE,"Promotion de l'offre de prÃªts garantis contre les catastrophes naturelles par la BOAD en Afrique de l'Ouest, Phase II",Yes,0.936354517936707
IN National Ganga River Basin Project,IN NATIONAL GANGA RIVER BASIN PROJECT,"",Yes,0.936280727386475
P209 - Aide alimentaire programmÃ©e (AAP) - Honduras - Transferts monÃ©taires - PAM,P209 - AIDE ALIMENTAIRE PROGRAMMÃE (AAP) - HONDURAS - TRANSFERTS MONÃTAIRES - PAM,"P209 - Aide alimentaire programmÃ©e (AAP) - Honduras - Transferts monÃ©taires - PAM - Nombre de bÃ©nÃ©ficiaires : 537 familles - DurÃ©e : 6 mois - Zone :  Valle de Sula -  Aide aux populations affectÃ©es par le passage des cyclones ETA et IOTA. Transferts monÃ©taires Ã  l'effet de combler les besoins alimentaires et non-alimentaires (kits de cuisines, eau et assainissement, fournitures d'hygiÃ¨ne).",Yes,0.936271190643311
2016 PIO Voluntary Contributions to UNFPA[Financial Assistance- Voluntary Contributions],2016 PIO VOLUNTARY CONTRIBUTIONS TO UNFPA[FINANCIAL ASSISTANCE- VOLUNTARY CONTRIBUTIONS],"Voluntary contribution for UNFPA activities as described within.[Covers discretionary financial assistance provided to foreign countries, international societies, commissions, proceedings or projects.].]",Yes,0.936191260814667
F.a: Kilwa Community Empowerment Programme,F.A: KILWA COMMUNITY EMPOWERMENT PROGRAMME,"Kilwa province is one of the poorest of Tanzania, and according to the 2012 census had 190Â 000 inhabitants. Over 90% of the inhabitants make their living by way of traditional agriculture and fishing. The average income level is estimated to be $89/person ($290/person Tanzania as a whole). Due to this, TCRS has included the Kilwa area as part of its community empowerment program. Expected development effects: decreased poverty and sustainable development as a result of growth in target group capacity in the target area. Outcome of activities (i) improved status of women and girls, hiv positive and disabled people, (ii) sufficient livelihood of marginalized and those in danger of becoming marginalized, (iii) participation by project community members in decision making and self-motivated development of their communities, and (iv) transpartent, responsible, and democratic leadership, and good governance in the villages. Activities benefit 7620 direct beneficiaries in 10 rural villages of Kilwa (6070W, 1359M, 137G, 18B, including 410 disabled people) and 327 bearers of responsibility (122W, 205M). In addition to the direct beneficiaries, the project?s sphere of influence includes 14613 individuals (4958W, 4559M). Target groups are children and youth in danger of becoming marginalized, disabled people, women, girls, victims of economic, sexual, and physical abuse, traditional leaders, religious leaders, civil servants, political decision makers and key individuals of organizations. The project is implemented by Tanganyika Christian Refugee Service (TCRS), which is an experienced and knowledgable actor in working with those living in extreme poverty and refugees, and is competent in a human rights based approach in village communities. The organization?s approach works because it activates the villagers to act as their knowledge and skills accumulate. For example, small entrepreneurship is central in improving the situation of those living in extreme poverty, and TCRS has much experience in steering towards this. Administrative ability of the organization in strong, and professionality of the employees high. Gender equality, environmental consideration, hiv and aids education, and rights of disabled people and cross functionally included in all TCRS project work. In the current project term, disbled work and environmentally friendly production methods are developed in particular. www.tcrs.or.tz",Yes,0.935914814472198
F.a: Kilwa Community Empowerment Programme,F.A: KILWA COMMUNITY EMPOWERMENT PROGRAMME,"Kilwa province is one of the poorest of Tanzania, and according to the 2012 census had 190Â 000 inhabitants. Over 90% of the inhabitants make their living by way of traditional agriculture and fishing. The average income level is estimated to be $89/person ($290/person Tanzania as a whole). Due to this, TCRS has included the Kilwa area as part of its community empowerment program. Expected development effects: decreased poverty and sustainable development as a result of growth in target group capacity in the target area. Outcome of activities (i) improved status of women and girls, hiv positive and disabled people, (ii) sufficient livelihood of marginalized and those in danger of becoming marginalized, (iii) participation by project community members in decision making and self-motivated development of their communities, and (iv) transpartent, responsible, and democratic leadership, and good governance in the villages. Activities benefit 7620 direct beneficiaries in 10 rural villages of Kilwa (6070W, 1359M, 137G, 18B, including 410 disabled people) and 327 bearers of responsibility (122W, 205M). In addition to the direct beneficiaries, the project?s sphere of influence includes 14613 individuals (4958W, 4559M). Target groups are children and youth in danger of becoming marginalized, disabled people, women, girls, victims of economic, sexual, and physical abuse, traditional leaders, religious leaders, civil servants, political decision makers and key individuals of organizations. The project is implemented by Tanganyika Christian Refugee Service (TCRS), which is an experienced and knowledgable actor in working with those living in extreme poverty and refugees, and is competent in a human rights based approach in village communities. The organization?s approach works because it activates the villagers to act as their knowledge and skills accumulate. For example, small entrepreneurship is central in improving the situation of those living in extreme poverty, and TCRS has much experience in steering towards this. Administrative ability of the organization in strong, and professionality of the employees high. Gender equality, environmental consideration, hiv and aids education, and rights of disabled people and cross functionally included in all TCRS project work. In the current project term, disbled work and environmentally friendly production methods are developed in particular. www.tcrs.or.tz",Yes,0.935914814472198
P209 - JEA (Jeunes experts associÃ©s) : SNU - JEA chargÃ© des affaires humanitaires,P209 - JEA (JEUNES EXPERTS ASSOCIÃS) : SNU - JEA CHARGÃ DES AFFAIRES HUMANITAIRES,P209 - JEA (Jeunes experts associÃ©s) : SNU - JEA chargÃ© des affaires humanitaires: CoopÃ©ration/dÃ©veloppement,Yes,0.935856819152832
"Emergency Grant Aid in response to Hurricane Disaster in the Central American countries - Guatemala, Honduras and Nicaragua","EMERGENCY GRANT AID IN RESPONSE TO HURRICANE DISASTER IN THE CENTRAL AMERICAN COUNTRIES - GUATEMALA, HONDURAS AND NICARAGUA",Targeted households affected by rapid- and slow-onset disasters have access to food year-round (Strategic Development Goal target 2.1). Targeted populations receive assistance to meet their basic food needs following a shock,Yes,0.935820400714874
GUARANTEEING FOOD SAFETY FOR THE PALESTINIAN MOST VULNERABLE REFUGEE POPULATION OF THE GAZA STRIP,GUARANTEEING FOOD SAFETY FOR THE PALESTINIAN MOST VULNERABLE REFUGEE POPULATION OF THE GAZA STRIP,TÃ­tulo completo del proyecto: GARANTIZAR LA SEGURIDAD ALIMENTARIA DE LA POBLACIÃN REFUGIADA DE PALESTINA MÃS VULNERABLE EN LA FRANJA DE GAZA :: reducir la inseguridad alimentaria de las personas refugiadas de Palestina en la Franja de Gaza que viven en pobreza absoluta y suponen casos de especial protecciÃ³n a travÃ©s de la distribuciÃ³n de cestas alimentarias.,Yes,0.935743808746338
MULTI-SECTORAL INTERVENTIONS FOR REFUGEE & MIGRANT CHILDREN IN CRITICAL LOCATIONS,MULTI-SECTORAL INTERVENTIONS FOR REFUGEE & MIGRANT CHILDREN IN CRITICAL LOCATIONS,"",Yes,0.935615599155426
Huai River Basin Flood Management and Drainage Improvement,HUAI RIVER BASIN FLOOD MANAGEMENT AND DRAINAGE IMPROVEMENT,"",Yes,0.935612082481384
Huai River Basin Flood Management and Drainage Improvement,HUAI RIVER BASIN FLOOD MANAGEMENT AND DRAINAGE IMPROVEMENT,"",Yes,0.935612082481384
Huai River Basin Flood Management and Drainage Improvement,HUAI RIVER BASIN FLOOD MANAGEMENT AND DRAINAGE IMPROVEMENT,"",Yes,0.935612082481384
Huai River Basin Flood Management and Drainage Improvement,HUAI RIVER BASIN FLOOD MANAGEMENT AND DRAINAGE IMPROVEMENT,"",Yes,0.935612082481384
"Securing food supply for refugees and host communities in Gedaref and Kassala State, Republic of Sudan","SECURING FOOD SUPPLY FOR REFUGEES AND HOST COMMUNITIES IN GEDAREF AND KASSALA STATE, REPUBLIC OF SUDAN",The nourishment of refugees in well-chosen camps and of inhabitants of well-chosen municipalities is improved.,Yes,0.935608088970184
Access Roads for Climate Change Adaption in Northern Namibia,ACCESS ROADS FOR CLIMATE CHANGE ADAPTION IN NORTHERN NAMIBIA,Financial contribution shall be used for roads to schools and hospitals in North Namibia to ensure all-year access for the (rural) population being subject to increased floods due to climate change.,Yes,0.935396313667297
For Disaster Risk Reduction and Norwaziristan IDPs support in KP,FOR DISASTER RISK REDUCTION AND NORWAZIRISTAN IDPS SUPPORT IN KP,For Disaster Risk Reduction and Norwaziristan IDPs support in KP,Yes,0.935195863246918
Updated humanitarian and early recovery appeal in response to hostilities in Gaza and mounting tensions in the West Bank,UPDATED HUMANITARIAN AND EARLY RECOVERY APPEAL IN RESPONSE TO HOSTILITIES IN GAZA AND MOUNTING TENSIONS IN THE WEST BANK,"Conversion of UNRWA's Gaza Field Nuseirat Elementary School into a Designated Emergency Shelter (DES),",Yes,0.935124039649963
Intervention d'urgence - Assistance matÃ©rielle et services d'urgence,INTERVENTION D'URGENCE - ASSISTANCE MATÃRIELLE ET SERVICES D'URGENCE,Intervention d'urgence - Assistance matÃ©rielle et services d'urgence - Actions de coopÃ©ration internationale des collectivitÃ©s territoriales pour le dÃ©veloppement - Structure intercommunale - CommunautÃ© d'agglomÃ©ration de Roissy Pays de France,Yes,0.935075044631958
The Project for Supporting the Socioeconomic Reintegration of Sri Lankan Migrant Workers Repatriated due to the Covid-19 Outbreak,THE PROJECT FOR SUPPORTING THE SOCIOECONOMIC REINTEGRATION OF SRI LANKAN MIGRANT WORKERS REPATRIATED DUE TO THE COVID-19 OUTBREAK,Grant aid for support for the Socioeconomic Reintegration of Sri Lankan Migrant Workers,Yes,0.935071289539337
Program Loan for Covid-19 Emergency Response Program(PLCERP),PROGRAM LOAN FOR COVID-19 EMERGENCY RESPONSE PROGRAM(PLCERP),It aims to provide budget support for the GPH to build systematic policy measures to respond to the public health challenges caused by COVID-19 in the Philippines,Yes,0.934985637664795
Emergency Assistance in Response to Flood Damage,EMERGENCY ASSISTANCE IN RESPONSE TO FLOOD DAMAGE,To repair priority areas of road infrastructure damaged by Hurricane Dean and exaccerbated by heavy rainfall.,Yes,0.934892594814301
Tsunami Emergency Assistance (Sector) Project,TSUNAMI EMERGENCY ASSISTANCE (SECTOR) PROJECT,"ADB's loan assistance includes support for: (i) rehabilitating damaged sections of state and district drainage structures, construction of bridge connections to replace temporary crossing arrangements and new bridge crossings on evacuation routes for future disasters, (ii) rehabilitation and reconstruction of ports and harbors, (iii) rehabilitating and upgrading village and municipal roads, drainage canals, public buildings, electrical networks",Yes,0.934888660907745
Tsunami Emergency Assistance (Sector) Project,TSUNAMI EMERGENCY ASSISTANCE (SECTOR) PROJECT,"ADB's loan assistance includes support for: (i) rehabilitating damaged sections of state and district drainage structures, construction of bridge connections to replace temporary crossing arrangements and new bridge crossings on evacuation routes for future disasters, (ii) rehabilitation and reconstruction of ports and harbors, (iii) rehabilitating and upgrading village and municipal roads, drainage canals, public buildings, electrical networks",Yes,0.934888660907745
Tsunami Emergency Assistance (Sector) Project,TSUNAMI EMERGENCY ASSISTANCE (SECTOR) PROJECT,"ADB's loan assistance includes support for: (i) rehabilitating damaged sections of state and district drainage structures, construction of bridge connections to replace temporary crossing arrangements and new bridge crossings on evacuation routes for future disasters, (ii) rehabilitation and reconstruction of ports and harbors, (iii) rehabilitating and upgrading village and municipal roads, drainage canals, public buildings, electrical networks",Yes,0.934888660907745
"UNICEF Humanitarian Partnership Framework Agreement, 2016","UNICEF HUMANITARIAN PARTNERSHIP FRAMEWORK AGREEMENT, 2016",UNICEF Humanitarian Partnership Framework Agreement 2016,Yes,0.934862911701202
"UNICEF Humanitarian Partnership Framework Agreement, 2016","UNICEF HUMANITARIAN PARTNERSHIP FRAMEWORK AGREEMENT, 2016",UNICEF Humanitarian Partnership Framework Agreement 2016,Yes,0.934862911701202
"UNICEF Humanitarian Partnership Framework Agreement, 2016","UNICEF HUMANITARIAN PARTNERSHIP FRAMEWORK AGREEMENT, 2016",UNICEF Humanitarian Partnership Framework Agreement 2016,Yes,0.934862911701202
"UNICEF Humanitarian Partnership Framework Agreement, 2016","UNICEF HUMANITARIAN PARTNERSHIP FRAMEWORK AGREEMENT, 2016",UNICEF Humanitarian Partnership Framework Agreement 2016,Yes,0.934862911701202
"UNICEF Humanitarian Partnership Framework Agreement, 2016","UNICEF HUMANITARIAN PARTNERSHIP FRAMEWORK AGREEMENT, 2016",UNICEF Humanitarian Partnership Framework Agreement 2016,Yes,0.934862911701202
"Strengthening Health System Capacity, Preparedness and Resilience in COVID-19 Affected Point of Entry, with Sierra Leone Diaspora","STRENGTHENING HEALTH SYSTEM CAPACITY, PREPAREDNESS AND RESILIENCE IN COVID-19 AFFECTED POINT OF ENTRY, WITH SIERRA LEONE DIASPORA","Strengthening Health System Capacity, Preparedness and Resilience in COVID-19 Affected Point of Entry, with Sierra Leone Diaspora",Yes,0.934857249259949
Coherent Danish support to South Sudan 2011-2014,COHERENT DANISH SUPPORT TO SOUTH SUDAN 2011-2014,"The Program Support Part I is implemented in simultaniosly with part II of the program that initiated implementation of activities in 2013. Part I in 2011 started Denmark's long-term development cooperation with Africa's newest country, South Sudan. The gradual implementation of the long-term cooperation take the massive challenges that South Sudan faces after independence into account, where the country's own capacity is strongly limited, and the long term aid needs to operate parallel with other instruments (political, humanitarian, peace/stability, military) The Program Support Part ll continue the previous focus on the connection between development and security/peace- and state build-up in accordance with South Sudan's own development plan and the principles in New Deal, where South Sudan is a pilot country.The goal is a peaceful and stable South Sudan capable of upholding the respect for Human Rights, Good Governance and access to social services. The support over subcomponents is rendered through multilateral partners and NGO's.",Yes,0.93476527929306
promoting of COVID-19 awareness and prevention work in Dar es Salaam,PROMOTING OF COVID-19 AWARENESS AND PREVENTION WORK IN DAR ES SALAAM,Reducing Covid-19-infections (hygienic measures),Yes,0.934751510620117
"Building Resilient Communities under COVID-19 through Food Security, Improved Water Provision and Community-based Health Care Support","BUILDING RESILIENT COMMUNITIES UNDER COVID-19 THROUGH FOOD SECURITY, IMPROVED WATER PROVISION AND COMMUNITY-BASED HEALTH CARE SUPPORT","Building Resilient Communities under COVID-19 through Food Security, Improved Water Provision and Community-based Health Care Support",Yes,0.934587836265564
Mitigation of Earthquake Risks,MITIGATION OF EARTHQUAKE RISKS,Mitigation of Earthquake Risks,Yes,0.93451064825058
Sichuan Urban Development Project,SICHUAN URBAN DEVELOPMENT PROJECT,"",Yes,0.934455931186676
the Economic and Social Development Programme,THE ECONOMIC AND SOCIAL DEVELOPMENT PROGRAMME,Grant aid to provide maritime safety equipment,Yes,0.934451639652252
"Emergency Grant Aid for people affected by the military engagement in Tigray region, Ethiopia","EMERGENCY GRANT AID FOR PEOPLE AFFECTED BY THE MILITARY ENGAGEMENT IN TIGRAY REGION, ETHIOPIA","Provision of emergency water, sanitation and hygiene (WASH) services for most vulnerable people affected by the Tigray crisis in Ethiopia",Yes,0.934323132038116
COVID-19 Emergency Response Program,COVID-19 EMERGENCY RESPONSE PROGRAM,Budget support for emergeny response against COVID19 in health sector,Yes,0.934205234050751
Program in support of the municipalities affected by the Syrian refugees influx in Jordan.,PROGRAM IN SUPPORT OF THE MUNICIPALITIES AFFECTED BY THE SYRIAN REFUGEES INFLUX IN JORDAN.,The initiative aims to improve the living conditions of Syrian refugees and host communities in Jordan. It also aims to strengthen the governance capacity of Jordanian local Authorities through the rehabilitation and the reconstruction of basic services in those Jordanian municipalities particularly affected by concentration of refugees fleeing from Syria.,Yes,0.934136748313904
Reconstruction And Development Of Earthquake Affected Regions,RECONSTRUCTION AND DEVELOPMENT OF EARTHQUAKE AFFECTED REGIONS,"",Yes,0.934044182300568
Humanitarian Mine Action to address increased threat associated with the COVID-19 pandemic in Syria,HUMANITARIAN MINE ACTION TO ADDRESS INCREASED THREAT ASSOCIATED WITH THE COVID-19 PANDEMIC IN SYRIA,Humanitarian Mine Action to address increased threat associated with the COVID-19 pandemic in Syria,Yes,0.933930039405823
COVID 19 Gestion de la crise,COVID 19 GESTION DE LA CRISE,Appui a la riposte contre le COVID 19 au Tchad  notamment en sensibilisant les populations en mettant a leur disposition des equipements tels que les cachenez.,Yes,0.933908522129059
The Economic and Social Development Programme,THE ECONOMIC AND SOCIAL DEVELOPMENT PROGRAMME,Grant aid to provide for CT and MRI,Yes,0.9338299036026
Resettlement Support Center East Asia FY15[Awards-  Cooperative Agreements],RESETTLEMENT SUPPORT CENTER EAST ASIA FY15[AWARDS-  COOPERATIVE AGREEMENTS],"1) to incorporate expenses as reported on December 23, 2015,  2) to show estimated final indirect costs, and 3) to reduce funds by $92,656.",Yes,0.933638751506805
The Art of Disaster Risk Reduction: an arts-based approach to strengthening community and institutional capacity in Colombia,THE ART OF DISASTER RISK REDUCTION: AN ARTS-BASED APPROACH TO STRENGTHENING COMMUNITY AND INSTITUTIONAL CAPACITY IN COLOMBIA,"Project supporting local activists using arts-based activities to establish DRR networks within communities exposed to environmental risk in Colombia. Benefits local populations, activists, NGOs and policy makers. SDGs 11",Yes,0.933608412742615
DRC Dansish Refugee Council - Syria and Neighbourhood (2021-2023),DRC DANSISH REFUGEE COUNCIL - SYRIA AND NEIGHBOURHOOD (2021-2023),m,Yes,0.933526039123535
Emergency Grant Aid in response to the humanitarian crisis in seven African countries,EMERGENCY GRANT AID IN RESPONSE TO THE HUMANITARIAN CRISIS IN SEVEN AFRICAN COUNTRIES,Provision of emergency WASH services for the IDP and host populations affected by the security crisis and emergency response to mitigate the impacts of the COVID-19 epidemic in Burkina Faso,Yes,0.933520019054413
"Securing the rights of refugees and internally displaced persons to housing, land and property in Syria","SECURING THE RIGHTS OF REFUGEES AND INTERNALLY DISPLACED PERSONS TO HOUSING, LAND AND PROPERTY IN SYRIA","Securing the rights of refugees and internally displaced persons to housing, land and property in Syria.",Yes,0.933498203754425
Strengthening the resilience of refugees and IDPs and host communities through action in Bangladesh and Myanmar,STRENGTHENING THE RESILIENCE OF REFUGEES AND IDPS AND HOST COMMUNITIES THROUGH ACTION IN BANGLADESH AND MYANMAR,"Strengthening, improving and supporting the livelihoods and resilience of host communities, refugees and internally displaced persons by promoting opportunities for self-help and resistance to natural hazards in particularly vulnerable households, sometimes by strengthening the operational and institutional structures of the national aid societies. (Non-LDC-Part)",Yes,0.933298349380493
HEALTH INTERVENTION FOR THE SAHARAWI REFUGEE POPULATION,HEALTH INTERVENTION FOR THE SAHARAWI REFUGEE POPULATION,"Incide en la mejora de la Salud de la PoblaciÃ³n Saharaui a travÃ©s de: la presencia de un Equipo de AtenciÃ³n Primaria en Aaiun, trabajando en la Red Primaria, formando al personal Sanitario Local, y trabajando la EPS con los Agentes de Salud y PoblaciÃ³n, y dotÃ¡ndoles de medios materiales: material sanitario, etc., la visita de un Equipo de Salud Mental que, ante la carencia de especialistas propios, hagan posible el acceso al Ciclo completo de Salud, tratando patologÃ­as, que de otra forma no serÃ­an atendidas e impartiendo formaciÃ³n a las PsicÃ³logassaharauis. El mantenimiento de los Hospitales de Aaiun y Tifariti. Presencia de un Equipo de TÃ©cnicos de mantenimiento. Pago de incentivos del personal de Tifariti y de 21 trabajadoras de Aaiun. Suministro de medicamentos de Salud Mental y para la Covid-19, alimentaciÃ³n pacientes Covid-19, registros clÃ­nicos y materiales de apoyo a la AdministraciÃ³n del Ministerio de Salud.",Yes,0.93316239118576
Immediate post-emergency reconstruction and rehabilitation,IMMEDIATE POST-EMERGENCY RECONSTRUCTION AND REHABILITATION,Immediate post-emergency reconstruction and rehabilitation,Yes,0.93314790725708
Vaccine donations (Doses in excess from domestic supply),VACCINE DONATIONS (DOSES IN EXCESS FROM DOMESTIC SUPPLY),"Vaccine donations (Doses in excess from domestic supply) (4,152,150doses, Astrazeneca)",Yes,0.933003127574921
OUTPUT 2: MONITORING,OUTPUT 2: MONITORING,"",Yes,0.932907462120056
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Jamaica Hurricane Dean ERL,JAMAICA HURRICANE DEAN ERL,"",Yes,0.932796359062195
Emergency response to food and nutrition insecurity of vulnerable populations caused by Covid-19 in Botswana,EMERGENCY RESPONSE TO FOOD AND NUTRITION INSECURITY OF VULNERABLE POPULATIONS CAUSED BY COVID-19 IN BOTSWANA,Emergency response to food and nutrition insecurity of vulnerable populations caused by Covid-19 in Botswana,Yes,0.932788372039795
Syria: Life-saving aid after floods,SYRIA: LIFE-SAVING AID AFTER FLOODS,Syria: Life-saving aid after floods,Yes,0.932730615139008
P209 - SANTE - ACER (Attapeu Covid  Emergency Response COVID-19),P209 - SANTE - ACER (ATTAPEU COVID  EMERGENCY RESPONSE COVID-19),P209 - SANTE - ACER (Attapeu Covid  Emergency Response COVID-19) - Formation des personnels de santÃ© dans la province d'Attapeu pour la prise en charge du Covid-19 - partenaires : Service Fraternel d'Entraide,Yes,0.932720899581909
Assisted Voluntary Return Program  [Financial Assistance- Voluntary Contributions],ASSISTED VOLUNTARY RETURN PROGRAM  [FINANCIAL ASSISTANCE- VOLUNTARY CONTRIBUTIONS],Voluntary contribution for the Assisted Voluntary Return Program AVR in El Salvador,Yes,0.932601809501648
Assisted Voluntary Return Program  [Financial Assistance- Voluntary Contributions],ASSISTED VOLUNTARY RETURN PROGRAM  [FINANCIAL ASSISTANCE- VOLUNTARY CONTRIBUTIONS],Voluntary contribution for the Assisted Voluntary Return Program AVR in El Salvador,Yes,0.932601809501648
Strengthening Public Health Measures on Points of Entry and Linked Quarantine Facilities in Myanmar during the COVID-19 Pandemic,STRENGTHENING PUBLIC HEALTH MEASURES ON POINTS OF ENTRY AND LINKED QUARANTINE FACILITIES IN MYANMAR DURING THE COVID-19 PANDEMIC,Strengthening Public Health Measures on Points of Entry and Linked Quarantine Facilities in Myanmar during the COVID-19 Pandemic,Yes,0.932145774364471
