project_title,short_description,long_description,PAF determination,PAF confidence ML
Promotion of an innovative and green slope protection system (GreenPro),PROMOTION OF AN INNOVATIVE AND GREEN SLOPE PROTECTION SYSTEM (GREENPRO),"Number and intensity of natural disasters have been increasing in mountainous countries like Nepal and Austria. In a developing country like Nepal, the intensity of natural disasters are even more due to weakly monitored infrastructure  development activities such as constructions of roads, buildings irrigation channels, telecommunication towers, hydropower projects etc. Almost every family living on hills and mountains is vulnerable to landslide, flood, debris flow and  earthquake induced landslides disasters. Due to increasing number of landslides incidents every year, it has become routine or customary to bear the loss of hundreds of lives and property worth millions of dollars due to landslides and  floods. In order to mitigate the human induced and rainfall triggered natural disasters, it is necessary to implement appropriate preventive and curative measures against slope failure, soil erosion and flooding. Soil nailing is an economical  and efficient reinforcement technique used as a remedial measure in unstable natural slopes or as retraining structure for excavated slopes. In comparison with other retaining protection structures, soil nailing permits to reduce the  excavated fill soil volume, saving construction materials and realization time. There are basically two concerns about the application of soil nailing, first is in its analysis and design and second is about the use of materials. In order to  make an innovative construction practice and to make it more cost effective, environment friendly and sustainable, a right choice of facing and an appropriate design of soil nails are very important. Regarding the analysis and design of soil  nails, several national codes or guidelines exist. But the role of facing elements in controlling the deformation of excavated front or the overall stability of slope is not yet completely understood (Sanvitale et al, 2013).The stiffness of  facing strongly influences the characteristics of tensile force distribution, such as for a slope of two lateral segments, the tensile force at the connection (nail head) of nail with facing, and the location of maximum traction on the  soil-nail-facing system. (Sanvitale et al, 2013). Most of the conventional soil nailing with shotcrete, precast concrete or metal facing elements are generally costly and do not offer a 'Green' slope. The flexible facing elements do offer  some possibilities to grow some plants on the slope but have some disadvantages e.g. bulging or punching at nail heads and are not suitable to control surface erosion and local shear failure. In the above context, the soil nailing system with  semi-flexible 3-dimensional galvanized steel mat (popular as KRISMERÂ® system in Europe) is a high-quality construction system which has proved itself one of the best solutions to stabilize slopes and embankments. Although, the functioning of  soil nailing with semi flexible 3D mat has been verified by different experiments and real site assessments, the act",Review,0.000929995672777295
External Review and Evaluation of forestry programmes in Tanzania ERET,EXTERNAL REVIEW AND EVALUATION OF FORESTRY PROGRAMMES IN TANZANIA ERET,The purpose of this intervention is external review and evaluation of the Participatory Plantation Forestry Programme (PFP) phase 2 Forestry and Value Chain Development Programme (FORVAC) and Tree Outgrowers Support Programme (TOSP). It aims to facilitate constant learning within and between the three programmes. The project evaluates the progress of the programmes against the defined indicators and according to standard evaluation criteria. Systematic risk monitoring and assessment is carried out to monitor the environmental and socio-economic impacts. Special attention is paid to vulnerable stakeholders. Annual reviews of the programmes and mid-term evaluations of PFP2 and FORVAC are carried out and a synthesis report prepared at the end. Implementation during years 2021-2023 budget 513 000 euros.,Review,0.000878223916515708
Reducing COVID-19 Food Insecurity in the Pacific Islands/RÃ©duire l'insÃ©curitÃ© alimentaire reliÃ©e Ã  la COVID-19 dans les Ã®les du pacifique,REDUCING COVID-19 FOOD INSECURITY IN THE PACIFIC ISLANDS/RÃDUIRE L'INSÃCURITÃ ALIMENTAIRE RELIÃE Ã LA COVID-19 DANS LES ÃLES DU PACIFIQUE,"The project aims to increase the resilience and food security of women and men vulnerable to the impacts of COVID-19 in the Pacific region and contributes to the overall COVID-19 response in the region, particularly in Fiji, Micronesia, Niue, Palau and Solomon Islands. Project activities include: (1) reviewing and mapping of ongoing and available COVID-19 food security, livelihoods, agriculture and economic impact assessments in the Pacific region and in the selected countries in particular, (2) supporting the review and inclusion of gender-sensitive approaches to COVID-19 in regional and national strategies, policies and response plans, (3) providing environmentally-sustainable agriculture inputs for household farming such as crops, livestock and fisheries, (4) providing training to 50 vulnerable communities on community-based Disaster Risk Management (CBDRM) and developing gender-sensitive CBDRM plans, and (5) facilitating regular cluster coordination meetings at the regional and national levels. / Le projet vise Ã  accroÃ®tre la rÃ©silience et la sÃ©curitÃ© alimentaire des femmes et des hommes vulnÃ©rables aux rÃ©percussions de la COVID-19 dans la rÃ©gion du Pacifique, et contribue Ã  la rÃ©ponse mondiale Ã  la COVID-19 dans la rÃ©gion, en particulier aux Fidji, en MicronÃ©sie, Ã  NiouÃ©, aux Palaos et aux Ã®les Salomon. Parmi les activitÃ©s du projet : 1) examiner et faire la recension des Ã©valuations en cours disponibles des consÃ©quences de la COVID-19 sur la sÃ©curitÃ© alimentaire, les moyens de subsistance, l'agriculture et l'Ã©conomie dans la rÃ©gion du Pacifique et dans les pays sÃ©lectionnÃ©s en particulier, 2) appuyer l'examen et l'inclusion d'approches favorisant l'Ã©galitÃ© des genres dans le cadre des stratÃ©gies, des politiques et des plans d'intervention rÃ©gionaux et nationaux liÃ©s Ã  la COVID-19, 3) fournir des intrants agricoles respectueux de l'environnement pour l'agriculture familiale, comme les cultures, le bÃ©tail et la pÃªche, 4) offrir de la formation Ã  50 communautÃ©s vulnÃ©rables sur la gestion du risque de catastrophe en milieu communautaire et mettre au point des plans de gestion du risque de catastrophe en milieu communautaire tenant compte de l'Ã©galitÃ© des genres, 5) faciliter la tenue de rÃ©unions de coordination de groupe Ã  l'Ã©chelle rÃ©gionale et nationale.",Review,0.000877960410434753
Reducing COVID-19 Food Insecurity in the Pacific Islands/RÃ©duire l'insÃ©curitÃ© alimentaire reliÃ©e Ã  la COVID-19 dans les Ã®les du pacifique,REDUCING COVID-19 FOOD INSECURITY IN THE PACIFIC ISLANDS/RÃDUIRE L'INSÃCURITÃ ALIMENTAIRE RELIÃE Ã LA COVID-19 DANS LES ÃLES DU PACIFIQUE,"The project aims to increase the resilience and food security of women and men vulnerable to the impacts of COVID-19 in the Pacific region and contributes to the overall COVID-19 response in the region, particularly in Fiji, Micronesia, Niue, Palau and Solomon Islands. Project activities include: (1) reviewing and mapping of ongoing and available COVID-19 food security, livelihoods, agriculture and economic impact assessments in the Pacific region and in the selected countries in particular, (2) supporting the review and inclusion of gender-sensitive approaches to COVID-19 in regional and national strategies, policies and response plans, (3) providing environmentally-sustainable agriculture inputs for household farming such as crops, livestock and fisheries, (4) providing training to 50 vulnerable communities on community-based Disaster Risk Management (CBDRM) and developing gender-sensitive CBDRM plans, and (5) facilitating regular cluster coordination meetings at the regional and national levels. / Le projet vise Ã  accroÃ®tre la rÃ©silience et la sÃ©curitÃ© alimentaire des femmes et des hommes vulnÃ©rables aux rÃ©percussions de la COVID-19 dans la rÃ©gion du Pacifique, et contribue Ã  la rÃ©ponse mondiale Ã  la COVID-19 dans la rÃ©gion, en particulier aux Fidji, en MicronÃ©sie, Ã  NiouÃ©, aux Palaos et aux Ã®les Salomon. Parmi les activitÃ©s du projet : 1) examiner et faire la recension des Ã©valuations en cours disponibles des consÃ©quences de la COVID-19 sur la sÃ©curitÃ© alimentaire, les moyens de subsistance, l'agriculture et l'Ã©conomie dans la rÃ©gion du Pacifique et dans les pays sÃ©lectionnÃ©s en particulier, 2) appuyer l'examen et l'inclusion d'approches favorisant l'Ã©galitÃ© des genres dans le cadre des stratÃ©gies, des politiques et des plans d'intervention rÃ©gionaux et nationaux liÃ©s Ã  la COVID-19, 3) fournir des intrants agricoles respectueux de l'environnement pour l'agriculture familiale, comme les cultures, le bÃ©tail et la pÃªche, 4) offrir de la formation Ã  50 communautÃ©s vulnÃ©rables sur la gestion du risque de catastrophe en milieu communautaire et mettre au point des plans de gestion du risque de catastrophe en milieu communautaire tenant compte de l'Ã©galitÃ© des genres, 5) faciliter la tenue de rÃ©unions de coordination de groupe Ã  l'Ã©chelle rÃ©gionale et nationale.",Review,0.000877960410434753
03 Asset creation,03 ASSET CREATION,"Carry out climate adaptation, asset creation, and livelihood activities aimed at fostering resilience to shocks and stressors, and conduct early response activities in the event of a small scale disaster",Review,0.000845829141326249
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
FAO HUM 2017-2020 - Ãterbetalningar FAO HUM 2020,FAO HUM 2017-2020 - ÃTERBETALNINGAR FAO HUM 2020,"This is a Major Amendment of Contribution between Sida and FAO to allow for humanitarian response in three crises (Afghanistan, Nigeria and Somalia) for 2020.This Amendment also includes support for unallocated funding to FAO s Special Fund forEmergency and Rehabilitation (SFERA), capacity-building support to the global Food Security Cluster (gFSC) and funding for evaluation in regard to FAO Sida multi-year resilience projects in the Sahel. This Decision concerns a financial contribution to FAO amounting to 67,683,193 Swedishkronor (SEK).",Review,0.000842468463815749
Enabling Activities to facilitate early action on the implementation of the Stockholm Convention on Persistent Organic Pollutants,ENABLING ACTIVITIES TO FACILITATE EARLY ACTION ON THE IMPLEMENTATION OF THE STOCKHOLM CONVENTION ON PERSISTENT ORGANIC POLLUTANTS,"",Review,0.000800260109826922
RESILIENCE DES ECOSYSTEMES MANGROVE,RESILIENCE DES ECOSYSTEMES MANGROVE,"- Renforcement des capacitÃ©s des acteurs de la rÃ©duction du risque de catastrophe au niveau des communautÃ©s locales et de la Croix-Rouge Mozambicaine. - Protection, la restauration et la gestion durable des Ã©cosystÃ¨mes de mangrove. Cette composante prÃ©voit notamment la gestion durable de 15 000 ha de mangroves, la restauration Ã©cologique de 390 ha de mangroves.- Participation au fonds de dotation de BIOFUND et l'intÃ©gration d'un protocole Â« fonds de catastrophe climatique Â».-RESILIENCE DES ECOSYSTEMES MANGROVE      ---o--- 1.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0",Review,0.000784139789175242
RESILIENCE DES ECOSYSTEMES MANGROVE,RESILIENCE DES ECOSYSTEMES MANGROVE,"- Renforcement des capacitÃ©s des acteurs de la rÃ©duction du risque de catastrophe au niveau des communautÃ©s locales et de la Croix-Rouge Mozambicaine. - Protection, la restauration et la gestion durable des Ã©cosystÃ¨mes de mangrove. Cette composante prÃ©voit notamment la gestion durable de 15 000 ha de mangroves, la restauration Ã©cologique de 390 ha de mangroves.- Participation au fonds de dotation de BIOFUND et l'intÃ©gration d'un protocole Â« fonds de catastrophe climatique Â».-RESILIENCE DES ECOSYSTEMES MANGROVE      ---o--- 1.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0",Review,0.000784139789175242
Support to IGAD Peace and Security,SUPPORT TO IGAD PEACE AND SECURITY,"IGAD is the Regional Economic Community (REC) of the Horn of Africa with Djibouti, Somalia, Ethiopia, Uganda, Kenya, Sudan and South Sudan as its members. Eritrea has sus-pended its membership. It is the only intragovernmental organization on state level that covers the Horn of Africa.  The EU has developed a program (action) that will support the work of IGAD in the field of Peace and Security. Since IGAD has not yet passed the EU 7-pillar assessment, the Austrian Development Organisation (ADA) will be the imple-menting partner for the EU.  Advancing Peace and Security is one of the four pillars  of the IGAD Regional Strategy 2016-2020. The action aims to support IGAD in the implementation of its Peace and Securi-ty Strategy 2016-2020. The underlying assumption of the action is that peace, security and economic development in the IGAD region  are profoundly interlinked. Therefore, by supporting peace and security, the action is expected to contribute to economic integration and development. The main donor is the EU, providing the vast majority of the funds. Sweden and Austria have joined the program and are also IGAD is the Regional Economic Community (REC) of the Horn of Africa with Djibouti, Somalia, Ethiopia, Uganda, Kenya, Sudan and South Sudan as its members. Eritrea has suspended its membership. It is the only intragovernmental organization on state level that covers the Horn of Africa.  The EU has developed a program (action) that will support the work of IGAD in the field of Peace and Security. Since IGAD has not yet passed the EU 7-pillar assessment, the Austrian Development Organisation (ADA) will be the implementing partner for the EU.  Advancing Peace and Security is one of the four pillars  of the IGAD Regional Strategy 2016-2020. The action aims to support IGAD in the implementation of its Peace and Security Strategy 2016-2020. The underlying assumption of the action is that peace, security and economic development in the IGAD reg ion  are profoundly interlinked. Therefore, by supporting peace and security, the action is expected to contribute to economic integration and development. The main donor is the EU, providing the vast majority of the funds. Sweden and Austria have joined the program and are also putting in bilateral funds. The Austrian Development Agency provides the program manager and carries the final financial responsibility. The IGAD-secretariat executes the program.  The action has 4 specific objectives: 1. To enhance the IGAD Conflict Early Warning and Response Mechanism (CEWARN) systems, so that there is an improvement in the quantity and quality of the information collected, in data analysis, and early response action. 2. To enable IGAD and national governments in the region to predict, prevent, and address transnational security threats. 3. To enhance the capacity of IGAD and national governments of the region on preventive diplomacy, mediation and civilian peace building 4. To enhance the implementation effecti",Review,0.000708901148755103
Institutional strengthening of disaster risk reduction and climate adaption capacities in Togo,INSTITUTIONAL STRENGTHENING OF DISASTER RISK REDUCTION AND CLIMATE ADAPTION CAPACITIES IN TOGO,"In 60 target communities, the project will strengthen the disaster resilience of the local population through climate-sensitive resource management, strengthening of local disaster preparedness structures, risk mapping and early warning systems. TRC's institutional and technical capacities in disaster risk management and climate adaptation will be developed. Exchanges with the RC national societies of Burkina Faso and Benin will be strengthened.",Review,0.000697308976668865
Effectiveness and scalability of innovative digital health solutions responding to COVID-19 crisis among refugees and vulnerable populations,EFFECTIVENESS AND SCALABILITY OF INNOVATIVE DIGITAL HEALTH SOLUTIONS RESPONDING TO COVID-19 CRISIS AMONG REFUGEES AND VULNERABLE POPULATIONS,"This project is part of an initiative that will provide evidence and strengthen capacity for bridging the knowledge gap in responding to the growing COVID-19 health crisis in the short-term and longer term. The initiative will support research on resilience building and preparedness to serve the needs of refugees and other populations on the move by promoting inter-sectoral approaches, including building bridges between humanitarian and development responses to reduce and control health risks for displaced populations, and leveraging existing local opportunities to strengthen the overall initiative.   This project will investigate the effectiveness of developing and scaling up three digital health solutions in strengthening health systems and improving access to care in at-risk populations in Asia, the Middle East, and Africa. The two-year project will use the current COVID-19 pandemic to identify existing gaps in preparedness and early response of health systems. The approach will include quantitative and qualitative methods to study three critical areas related to health emergencies: early detection of illness in at-risk populations, teleconsultation to improve access to care for the hard-to-reach, and mobile applications for best practice guidelines for healthcare workers. The evidence will be communicated through a variety of academic and policy outputs.",Review,0.000672051741275936
Effectiveness and scalability of innovative digital health solutions responding to COVID-19 crisis among refugees and vulnerable populations,EFFECTIVENESS AND SCALABILITY OF INNOVATIVE DIGITAL HEALTH SOLUTIONS RESPONDING TO COVID-19 CRISIS AMONG REFUGEES AND VULNERABLE POPULATIONS,"This project is part of an initiative that will provide evidence and strengthen capacity for bridging the knowledge gap in responding to the growing COVID-19 health crisis in the short-term and longer term. The initiative will support research on resilience building and preparedness to serve the needs of refugees and other populations on the move by promoting inter-sectoral approaches, including building bridges between humanitarian and development responses to reduce and control health risks for displaced populations, and leveraging existing local opportunities to strengthen the overall initiative.   This project will investigate the effectiveness of developing and scaling up three digital health solutions in strengthening health systems and improving access to care in at-risk populations in Asia, the Middle East, and Africa. The two-year project will use the current COVID-19 pandemic to identify existing gaps in preparedness and early response of health systems. The approach will include quantitative and qualitative methods to study three critical areas related to health emergencies: early detection of illness in at-risk populations, teleconsultation to improve access to care for the hard-to-reach, and mobile applications for best practice guidelines for healthcare workers. The evidence will be communicated through a variety of academic and policy outputs.",Review,0.000672051741275936
Effectiveness and scalability of innovative digital health solutions responding to COVID-19 crisis among refugees and vulnerable populations,EFFECTIVENESS AND SCALABILITY OF INNOVATIVE DIGITAL HEALTH SOLUTIONS RESPONDING TO COVID-19 CRISIS AMONG REFUGEES AND VULNERABLE POPULATIONS,"This project is part of an initiative that will provide evidence and strengthen capacity for bridging the knowledge gap in responding to the growing COVID-19 health crisis in the short-term and longer term. The initiative will support research on resilience building and preparedness to serve the needs of refugees and other populations on the move by promoting inter-sectoral approaches, including building bridges between humanitarian and development responses to reduce and control health risks for displaced populations, and leveraging existing local opportunities to strengthen the overall initiative.   This project will investigate the effectiveness of developing and scaling up three digital health solutions in strengthening health systems and improving access to care in at-risk populations in Asia, the Middle East, and Africa. The two-year project will use the current COVID-19 pandemic to identify existing gaps in preparedness and early response of health systems. The approach will include quantitative and qualitative methods to study three critical areas related to health emergencies: early detection of illness in at-risk populations, teleconsultation to improve access to care for the hard-to-reach, and mobile applications for best practice guidelines for healthcare workers. The evidence will be communicated through a variety of academic and policy outputs.",Review,0.000672051741275936
Effectiveness and scalability of innovative digital health solutions responding to COVID-19 crisis among refugees and vulnerable populations,EFFECTIVENESS AND SCALABILITY OF INNOVATIVE DIGITAL HEALTH SOLUTIONS RESPONDING TO COVID-19 CRISIS AMONG REFUGEES AND VULNERABLE POPULATIONS,"This project is part of an initiative that will provide evidence and strengthen capacity for bridging the knowledge gap in responding to the growing COVID-19 health crisis in the short-term and longer term. The initiative will support research on resilience building and preparedness to serve the needs of refugees and other populations on the move by promoting inter-sectoral approaches, including building bridges between humanitarian and development responses to reduce and control health risks for displaced populations, and leveraging existing local opportunities to strengthen the overall initiative.   This project will investigate the effectiveness of developing and scaling up three digital health solutions in strengthening health systems and improving access to care in at-risk populations in Asia, the Middle East, and Africa. The two-year project will use the current COVID-19 pandemic to identify existing gaps in preparedness and early response of health systems. The approach will include quantitative and qualitative methods to study three critical areas related to health emergencies: early detection of illness in at-risk populations, teleconsultation to improve access to care for the hard-to-reach, and mobile applications for best practice guidelines for healthcare workers. The evidence will be communicated through a variety of academic and policy outputs.",Review,0.000672051741275936
Effectiveness and scalability of innovative digital health solutions responding to COVID-19 crisis among refugees and vulnerable populations,EFFECTIVENESS AND SCALABILITY OF INNOVATIVE DIGITAL HEALTH SOLUTIONS RESPONDING TO COVID-19 CRISIS AMONG REFUGEES AND VULNERABLE POPULATIONS,"This project is part of an initiative that will provide evidence and strengthen capacity for bridging the knowledge gap in responding to the growing COVID-19 health crisis in the short-term and longer term. The initiative will support research on resilience building and preparedness to serve the needs of refugees and other populations on the move by promoting inter-sectoral approaches, including building bridges between humanitarian and development responses to reduce and control health risks for displaced populations, and leveraging existing local opportunities to strengthen the overall initiative.   This project will investigate the effectiveness of developing and scaling up three digital health solutions in strengthening health systems and improving access to care in at-risk populations in Asia, the Middle East, and Africa. The two-year project will use the current COVID-19 pandemic to identify existing gaps in preparedness and early response of health systems. The approach will include quantitative and qualitative methods to study three critical areas related to health emergencies: early detection of illness in at-risk populations, teleconsultation to improve access to care for the hard-to-reach, and mobile applications for best practice guidelines for healthcare workers. The evidence will be communicated through a variety of academic and policy outputs.",Review,0.000672051741275936
RESCAT TUNISIE,RESCAT TUNISIE,"PÃ´le RFESoutien Ã  la mise en place d'un dispositif de rÃ©duction des risques de catastrophe en Tunisie, en co financement avec la Banque Mondiale, via une approche Programme axÃ© sur les rÃ©sultats (PforR).-RESCAT TUNISIE",Review,0.000664304883684963
Capacity Strengthening for Rapid Response and Early Action for Viral Haemorrhagic Diseases in South Sudan,CAPACITY STRENGTHENING FOR RAPID RESPONSE AND EARLY ACTION FOR VIRAL HAEMORRHAGIC DISEASES IN SOUTH SUDAN,"Project Title: Capacity Strengthening for Rapid Response and Early Action for Viral Haemorrhagic Diseases in South Sudan, Sector: Health, Subsector: Capacity building (Health)  Epidemics, Execution Country: South Sudan Republic, Partner: ALIMA-FR",Review,0.000663698301650584
Capacity Strengthening for Rapid Response and Early Action for Viral Haemorrhagic Diseases in South Sudan,CAPACITY STRENGTHENING FOR RAPID RESPONSE AND EARLY ACTION FOR VIRAL HAEMORRHAGIC DISEASES IN SOUTH SUDAN,"Project Title: Capacity Strengthening for Rapid Response and Early Action for Viral Haemorrhagic Diseases in South Sudan, Sector: Health, Subsector: Capacity building (Health)  Epidemics, Execution Country: South Sudan Republic, Partner: ALIMA-FR",Review,0.000663698301650584
Programming and Capacity Building Support to  Agriculture Sector Priorities on Early Warning Early Action and Community-based Disaster Risk Management,PROGRAMMING AND CAPACITY BUILDING SUPPORT TO  AGRICULTURE SECTOR PRIORITIES ON EARLY WARNING EARLY ACTION AND COMMUNITY-BASED DISASTER RISK MANAGEMENT,Programming and Capacity Building Support to  Agriculture Sector Priorities on Early Warning Early Action and Community-based Disaster Risk Management,Review,0.000640066515188664
"Partnerships, mobilizationand innovation","PARTNERSHIPS, MOBILIZATIONAND INNOVATION",All risk insurance coverage for artwork 01-JUL-21 to 30-JUN-22,Review,0.000625482585746795
"To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of th","TO STRENGTHEN NATIONAL, DISTRICT AND LOCAL PREPAREDNESS AND RESPONSE CAPACITIES, LINKING EARLY WARNING TO EARLY ACTION AND FOSTERING SCALABILITY OF TH","Project Title: To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of the action in Mozambique. , Sector: Disaster Risk Reduction / Disaster Preparedness  WASH, S",Review,0.00061545375501737
"To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of th","TO STRENGTHEN NATIONAL, DISTRICT AND LOCAL PREPAREDNESS AND RESPONSE CAPACITIES, LINKING EARLY WARNING TO EARLY ACTION AND FOSTERING SCALABILITY OF TH","Project Title: To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of the action in Mozambique. , Sector: Disaster Risk Reduction / Disaster Preparedness  WASH, S",Review,0.00061545375501737
"To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of th","TO STRENGTHEN NATIONAL, DISTRICT AND LOCAL PREPAREDNESS AND RESPONSE CAPACITIES, LINKING EARLY WARNING TO EARLY ACTION AND FOSTERING SCALABILITY OF TH","Project Title: To strengthen national, district and local preparedness and response capacities, linking early warning to early action and fostering scalability of the action in Mozambique. , Sector: Disaster Risk Reduction / Disaster Preparedness  WASH, S",Review,0.00061545375501737
Contingent Credit Line for Sustainable Development,CONTINGENT CREDIT LINE FOR SUSTAINABLE DEVELOPMENT,The project's objective is to offer a line of credit that allows to provide liquidity resources when identifying periods of reduced liquidity in case both exogenous systemic disorders of external origin as in the case of exogenous economic events own country,Review,0.00057913432829082
URBE Latam: Understanding Risks and Building Enhanced Capabilities in Latin American cities,URBE LATAM: UNDERSTANDING RISKS AND BUILDING ENHANCED CAPABILITIES IN LATIN AMERICAN CITIES,"URBE Latam addresses the implementation gap between sustainable development and equitable resilience. It will do so by using a transdisciplinary research approach aimed at empowering residents of disaster-prone urban poor neighbourhoods, which will underpin the co-production of enhanced, context-specific understandings of local risks and the integration of the resulting data into decision-making procedures in disaster risk reduction and sustainable development monitoring.   The project is conducted by a highly skilled multi-disciplinary research team (including social sciences, engineering and physical sciences) and adopts a dialogic co-production approach to citizen-generated data which relies upon well-established partnerships with community-based initiatives for local development, education and disaster risk reduction in Rio de Janeiro and Medellin, as well as with governmental agencies involved in disaster risk reduction and local planning and development.  URBE Latam proceeds in four integrated components that seek an enhanced understanding of risks, vulnerabilities and local capabilities in disaster-prone urban areas: first it is centred on the engagement of citizens to generate data to expand understandings of risks at the neighbourhood level, second, citizens engagement in risk will be pursued alongside an analysis of socio-spatial inequalities in resilience and development indicators and policies at city and national level, third, this will lead to the recalibration of environmental risk mapping with citizen-generated data, fourth, these components are articulated and integrated within a framework to facilitate dialogic transformations across the different levels and stakeholders involved.  The process of advancing these outputs will further enable capacity development in local communities and the governments of Rio de Janeiro and Medellin, a process which will be augmented by improving the awareness of stakeholders in other Latin American cities and countries through broader dissemination.  Insights from collaboratively produced citizen-generated data will be integrated into the practices of disaster risk management and development monitoring (e.g. SDG reporting) in collaboration with international policymaking agencies, thus enabling transformations towards more equitable disaster risk reduction and sustainable development. As an overarching outcome, the project will enable the transformation of practices, improve knowledge among a diverse range of stakeholders and enhance capacity to promote equitable resilience.",Review,0.000577683618757874
La rÃ©silience des communautÃ©s ciblÃ©es dans les provinces du Kongo Central et du Kanwgo face aux risques de catastrophe naturelles et aux problÃ¨mes sanitaires est amÃ©liorÃ©e,LA RÃSILIENCE DES COMMUNAUTÃS CIBLÃES DANS LES PROVINCES DU KONGO CENTRAL ET DU KANWGO FACE AUX RISQUES DE CATASTROPHE NATURELLES ET AUX PROBLÃMES SAN,"",Review,0.000530410674400628
Geothermal Financing and Risk Transfer Facility,GEOTHERMAL FINANCING AND RISK TRANSFER FACILITY,"To increase power production from geothermalsources so as to contribute to the diversification of the energy matrix and reduce dependency on fossil fuels and GHG emissions in Mexico. To this end, the program intends to scale up investment in geothermal power generation projectsby making available a range of financial mechanisms tailored to meet the specific needs of each project's stage of development.",Review,0.000510612095240504
DRF by TRAC2,DRF BY TRAC2,UNDP serves as integrator and contributor for Drought Recovery / Resilience Framework (DRF) 201822,Review,0.000503829796798527
SFERA (Special Fund for Emergency and Rehabilitation) â FAO,SFERA (SPECIAL FUND FOR EMERGENCY AND REHABILITATION) â FAO,"The Special Fund for Emergency and Rehabilitation Activities (SFERA) was established in 2004 to enhance FAO's capacity to rapidly respond to emergency situations. Through strategic resource partner funding, SFERA provides FAO with the financial means and",Review,0.0004807646619156
